70,VNI-FGSM,resnet50,vgg19,0.6533,0.0291,0.6533*,0.6533*,0.6533*,0.0291*,0.0291*,0.0291*
80,VNI-FGSM,resnet50,vgg19,0.6693,0.0180,0.6693*,0.6693*,0.6693*,0.0180*,0.0180*,0.0180*
90,VNI-FGSM,resnet50,vgg19,0.6743,0.0220,0.6743*,0.6743*,0.6743*,0.0220*,0.0220*,0.0220*
100,VNI-FGSM,resnet50,vgg19,0.6613,0.0210,0.6613*,0.6613*,0.6613*,0.0210*,0.0210*,0.0210*
1,SIT,resnet50,vgg19,0.1002,0.0010,0.1493*,0.1493*,0.1493*,0.0217*,0.0217*,0.0217*
5,SIT,resnet50,vgg19,0.5060,0.0491,0.5080*,0.5080*,0.5080*,0.0529*,0.0529*,0.0529*
10,SIT,resnet50,vgg19,0.7625,0.1543,0.7625*,0.7625*,0.7625*,0.1546*,0.1546*,0.1546*
20,SIT,resnet50,vgg19,0.7996,0.2014,0.7996*,0.7996*,0.7996*,0.2014*,0.2014*,0.2014*
30,SIT,resnet50,vgg19,0.8006,0.2174,0.8006*,0.8006*,0.8006*,0.2174*,0.2174*,0.2174*
40,SIT,resnet50,vgg19,0.8277,0.2705,0.8277*,0.8277*,0.8277*,0.2705*,0.2705*,0.2705*
50,SIT,resnet50,vgg19,0.8537,0.3056,0.8537*,0.8537*,0.8537*,0.3056*,0.3056*,0.3056*
60,SIT,resnet50,vgg19,0.8537,0.3537,0.8537*,0.8537*,0.8537*,0.3537*,0.3537*,0.3537*
70,SIT,resnet50,vgg19,0.8727,0.3677,0.8727*,0.8727*,0.8727*,0.3677*,0.3677*,0.3677*
80,SIT,resnet50,vgg19,0.8697,0.3908,0.8697*,0.8697*,0.8697*,0.3908*,0.3908*,0.3908*
90,SIT,resnet50,vgg19,0.8778,0.3958,0.8778*,0.8778*,0.8778*,0.3958*,0.3958*,0.3958*
100,SIT,resnet50,vgg19,0.8948,0.4168,0.8948*,0.8948*,0.8948*,0.4168*,0.4168*,0.4168*
1,SSA,resnet50,vgg19,0.0671,0.0010,0.2667*,0.2667*,0.2667*,nan*,nan*,nan*
5,SSA,resnet50,vgg19,0.3647,0.0140,0.3784*,0.3784*,0.3784*,0.0262*,0.0262*,0.0262*
10,SSA,resnet50,vgg19,0.7305,0.0752,0.7324*,0.7324*,0.7324*,0.0791*,0.0791*,0.0791*
20,SSA,resnet50,vgg19,0.9138,0.1944,0.9138*,0.9138*,0.9138*,0.1946*,0.1946*,0.1946*
30,SSA,resnet50,vgg19,0.9689,0.1553,0.9689*,0.9689*,0.9689*,0.1555*,0.1555*,0.1555*
40,SSA,resnet50,vgg19,0.9790,0.0842,0.9790*,0.9790*,0.9790*,0.0842*,0.0842*,0.0842*
50,SSA,resnet50,vgg19,0.9900,0.0551,0.9900*,0.9900*,0.9900*,0.0551*,0.0551*,0.0551*
60,SSA,resnet50,vgg19,0.9940,0.0421,0.9940*,0.9940*,0.9940*,0.0421*,0.0421*,0.0421*
70,SSA,resnet50,vgg19,0.9950,0.0351,0.9950*,0.9950*,0.9950*,0.0351*,0.0351*,0.0351*
80,SSA,resnet50,vgg19,0.9950,0.0230,0.9950*,0.9950*,0.9950*,0.0230*,0.0230*,0.0230*
90,SSA,resnet50,vgg19,0.9980,0.0150,0.9980*,0.9980*,0.9980*,0.0150*,0.0150*,0.0150*
100,SSA,resnet50,vgg19,0.9980,0.0100,0.9980*,0.9980*,0.9980*,0.0100*,0.0100*,0.0100*
1,TI-FGSM,resnet50,inception_v3,0.0331,0.0000,0.0712*,0.0712*,0.0712*,0.0000*,0.0000*,0.0000*
5,TI-FGSM,resnet50,inception_v3,0.1844,0.0030,0.1900*,0.1900*,0.1900*,0.0041*,0.0041*,0.0041*
10,TI-FGSM,resnet50,inception_v3,0.3677,0.0210,0.3681*,0.3681*,0.3681*,0.0214*,0.0214*,0.0214*
20,TI-FGSM,resnet50,inception_v3,0.3838,0.0371,0.3838*,0.3838*,0.3838*,0.0371*,0.0371*,0.0371*
30,TI-FGSM,resnet50,inception_v3,0.4098,0.0411,0.4098*,0.4098*,0.4098*,0.0411*,0.0411*,0.0411*
40,TI-FGSM,resnet50,inception_v3,0.4319,0.0441,0.4319*,0.4319*,0.4319*,0.0441*,0.0441*,0.0441*
50,TI-FGSM,resnet50,inception_v3,0.4279,0.0471,0.4279*,0.4279*,0.4279*,0.0471*,0.0471*,0.0471*
60,TI-FGSM,resnet50,inception_v3,0.4569,0.0571,0.4569*,0.4569*,0.4569*,0.0571*,0.0571*,0.0571*
70,TI-FGSM,resnet50,inception_v3,0.4509,0.0511,0.4509*,0.4509*,0.4509*,0.0511*,0.0511*,0.0511*
80,TI-FGSM,resnet50,inception_v3,0.4539,0.0541,0.4539*,0.4539*,0.4539*,0.0541*,0.0541*,0.0541*
90,TI-FGSM,resnet50,inception_v3,0.4499,0.0621,0.4499*,0.4499*,0.4499*,0.0621*,0.0621*,0.0621*
100,TI-FGSM,resnet50,inception_v3,0.4729,0.0561,0.4729*,0.4729*,0.4729*,0.0561*,0.0561*,0.0561*
1,MI-FGSM,resnet50,inception_v3,0.0240,0.0000,0.0307*,0.0307*,0.0307*,0.0000*,0.0000*,0.0000*
5,MI-FGSM,resnet50,inception_v3,0.0842,0.0000,0.0842*,0.0842*,0.0842*,0.0000*,0.0000*,0.0000*
10,MI-FGSM,resnet50,inception_v3,0.1603,0.0000,0.1603*,0.1603*,0.1603*,0.0000*,0.0000*,0.0000*
20,MI-FGSM,resnet50,inception_v3,0.1563,0.0010,0.1563*,0.1563*,0.1563*,0.0010*,0.0010*,0.0010*
30,MI-FGSM,resnet50,inception_v3,0.1423,0.0000,0.1423*,0.1423*,0.1423*,0.0000*,0.0000*,0.0000*
40,MI-FGSM,resnet50,inception_v3,0.1493,0.0000,0.1493*,0.1493*,0.1493*,0.0000*,0.0000*,0.0000*
50,MI-FGSM,resnet50,inception_v3,0.1423,0.0000,0.1423*,0.1423*,0.1423*,0.0000*,0.0000*,0.0000*
60,MI-FGSM,resnet50,inception_v3,0.1493,0.0010,0.1493*,0.1493*,0.1493*,0.0010*,0.0010*,0.0010*
70,MI-FGSM,resnet50,inception_v3,0.1353,0.0000,0.1353*,0.1353*,0.1353*,0.0000*,0.0000*,0.0000*
80,MI-FGSM,resnet50,inception_v3,0.1613,0.0000,0.1613*,0.1613*,0.1613*,0.0000*,0.0000*,0.0000*
90,MI-FGSM,resnet50,inception_v3,0.1553,0.0010,0.1553*,0.1553*,0.1553*,0.0010*,0.0010*,0.0010*
100,MI-FGSM,resnet50,inception_v3,0.1323,0.0010,0.1323*,0.1323*,0.1323*,0.0010*,0.0010*,0.0010*
1,VMI-FGSM,resnet50,inception_v3,0.0251,0.0000,0.0321*,0.0321*,0.0321*,0.0000*,0.0000*,0.0000*
5,VMI-FGSM,resnet50,inception_v3,0.1543,0.0000,0.1552*,0.1552*,0.1552*,0.0000*,0.0000*,0.0000*
